epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70777,1.82223,4.92128,1.19781,0.00119,0.41667,0.00273,0.00122,1.70463,4.28531,0.98132,0.00010002,0.00010002,0.00010002
2,11.0653,1.66861,4.02253,1.1189,0.00136,0.4881,0.09293,0.0337,1.42774,3.98164,0.93844,0.000215852,0.000215852,0.000215852
3,15.3327,1.66181,3.27567,1.1312,0.0015,0.4881,0.10234,0.04416,1.3164,3.99761,0.92532,0.000330759,0.000330759,0.000330759
4,19.0035,1.44117,2.65182,1.0526,0.00192,0.5,0.06096,0.02214,1.31423,3.97328,0.91755,0.000444743,0.000444743,0.000444743
5,22.778,1.6036,2.63119,1.12118,0.00187,0.50556,0.01047,0.00344,1.41286,4.06622,0.95571,0.000557802,0.000557802,0.000557802
6,26.406,1.48523,2.36062,1.08504,0.00184,0.52143,0.02851,0.01134,1.49875,3.91719,0.96198,0.000669937,0.000669937,0.000669937
7,29.9255,1.58326,2.55674,1.10471,0.00184,0.50317,0.0293,0.00723,1.47744,3.86724,0.99643,0.000781148,0.000781148,0.000781148
8,33.2308,1.46673,2.05444,1.08228,0.00175,0.43175,0.01498,0.00349,1.53048,3.96206,1.06135,0.000891435,0.000891435,0.000891435
9,36.5336,1.63272,2.29554,1.14624,0.00092,0.23571,0.00067,0.0003,1.59887,4.17689,1.254,0.0010008,0.0010008,0.0010008
10,39.9741,1.43366,2.17455,1.08043,0.00143,0.34524,0.00113,0.00043,1.68054,4.12932,1.3013,0.00110924,0.00110924,0.00110924
11,43.2346,1.50363,2.17412,1.01647,0.00144,0.3381,0.02023,0.00892,1.80681,4.13178,1.31809,0.00121675,0.00121675,0.00121675
12,46.4163,1.40812,1.82776,1.00884,0.78181,0.03571,0.20427,0.09184,1.62742,3.46993,1.19428,0.00132334,0.00132334,0.00132334
13,49.6057,1.39288,1.93126,1.03899,0.0021,0.52698,0.15227,0.07455,1.6379,3.624,1.22112,0.00142901,0.00142901,0.00142901
14,52.5593,1.41238,1.88021,1.04856,0.79827,0.0532,0.2365,0.10423,1.71317,3.40605,1.28021,0.00153375,0.00153375,0.00153375
15,55.7098,1.40091,1.62108,1.04531,0.96527,0.15971,0.28292,0.13606,1.80332,3.35775,1.28318,0.00157458,0.00157458,0.00157458
16,58.7893,1.4147,1.69915,1.05277,0.56222,0.1931,0.30263,0.12783,1.87708,3.24839,1.28933,0.00156798,0.00156798,0.00156798
17,61.7659,1.40356,1.66516,1.03912,0.79981,0.23557,0.34421,0.14902,1.8415,2.95358,1.25096,0.00156138,0.00156138,0.00156138
18,64.8948,1.36958,1.59848,1.03279,0.69447,0.29699,0.40239,0.1647,1.84302,2.7782,1.21762,0.00155478,0.00155478,0.00155478
19,67.9772,1.51271,1.66961,1.07093,0.59596,0.31007,0.44032,0.17989,1.76183,2.69827,1.15089,0.00154818,0.00154818,0.00154818
20,71.0649,1.37705,1.46873,1.04131,0.54761,0.62302,0.4978,0.19358,1.76922,2.2464,1.18265,0.00154157,0.00154157,0.00154157
21,74.0692,1.35284,1.55086,1.05426,0.54122,0.62928,0.50212,0.2184,1.66228,2.21183,1.12982,0.00153497,0.00153497,0.00153497
22,77.0476,1.33605,1.50948,1.05858,0.71253,0.58426,0.60368,0.2572,1.64987,2.08475,1.07912,0.00152837,0.00152837,0.00152837
23,79.9857,1.33081,1.33968,1.01654,0.65437,0.48922,0.49787,0.24104,1.69825,2.14685,1.09454,0.00152177,0.00152177,0.00152177
24,83.012,1.28904,1.39425,1.0021,0.70049,0.40824,0.45911,0.22993,1.74032,2.51603,1.10907,0.00151517,0.00151517,0.00151517
25,85.9442,1.38498,1.48399,1.04689,0.63902,0.42934,0.44436,0.22398,1.70557,2.41185,1.11285,0.00150857,0.00150857,0.00150857
26,88.9128,1.35516,1.27366,1.03124,0.6138,0.45676,0.47685,0.2124,1.72397,2.2623,1.13667,0.00150197,0.00150197,0.00150197
27,91.9161,1.25848,1.24732,0.9839,0.60214,0.54873,0.55813,0.26006,1.76767,1.84418,1.14423,0.00149537,0.00149537,0.00149537
28,94.8556,1.30091,1.28911,0.99527,0.5297,0.56667,0.52761,0.25223,1.69827,1.72122,1.11254,0.00148876,0.00148876,0.00148876
29,97.693,1.31662,1.22214,1.00173,0.49436,0.54656,0.46653,0.17953,1.83245,1.84449,1.19346,0.00148216,0.00148216,0.00148216
30,100.85,1.29656,1.28502,1.02506,0.49086,0.54286,0.49506,0.23024,1.68066,1.78914,1.12249,0.00147556,0.00147556,0.00147556
31,105.948,1.27768,1.18345,1.01347,0.51574,0.57063,0.48083,0.193,1.78101,1.90573,1.17044,0.00146896,0.00146896,0.00146896
32,109.611,1.21046,1.05544,0.99642,0.54388,0.59321,0.53143,0.23426,1.63444,2.17366,1.11575,0.00146236,0.00146236,0.00146236
33,112.657,1.26742,1.15778,1.02535,0.62549,0.59078,0.56957,0.26024,1.77509,1.83407,1.18448,0.00145576,0.00145576,0.00145576
34,115.772,1.25958,1.23318,1.00114,0.63643,0.55238,0.52512,0.24412,1.84207,1.8204,1.25066,0.00144916,0.00144916,0.00144916
35,118.864,1.23961,1.0829,1.00325,0.60823,0.58254,0.56115,0.25097,1.67105,1.93636,1.1062,0.00144256,0.00144256,0.00144256
36,121.943,1.31542,1.19851,0.96917,0.71327,0.56349,0.58752,0.2537,1.79231,1.97816,1.16137,0.00143595,0.00143595,0.00143595
37,124.791,1.2497,1.13315,0.97808,0.76405,0.58571,0.58545,0.24891,1.83336,1.99837,1.22978,0.00142935,0.00142935,0.00142935
38,127.772,1.23438,1.07793,0.97328,0.71476,0.60317,0.61499,0.27601,1.77376,1.83028,1.22388,0.00142275,0.00142275,0.00142275
39,131.289,1.16732,0.96538,0.9472,0.77655,0.59206,0.64481,0.27013,1.76641,1.77503,1.19923,0.00141615,0.00141615,0.00141615
40,134.574,1.17054,0.97382,0.94697,0.76148,0.59766,0.64785,0.28488,1.77875,1.70498,1.20315,0.00140955,0.00140955,0.00140955
41,137.608,1.22749,1.03047,0.97578,0.71225,0.60317,0.60682,0.2465,1.80034,1.72135,1.18264,0.00140295,0.00140295,0.00140295
42,141.162,1.20303,1.02384,0.96931,0.63135,0.59286,0.5754,0.25324,1.6946,1.79237,1.10311,0.00139635,0.00139635,0.00139635
43,144.89,1.12913,0.95032,0.9258,0.55488,0.63002,0.55132,0.24258,1.70613,1.93984,1.07926,0.00138974,0.00138974,0.00138974
44,148.153,1.26249,0.96187,0.98057,0.5476,0.65159,0.54289,0.24499,1.54994,1.7667,1.06274,0.00138314,0.00138314,0.00138314
45,151.478,1.1702,1.02334,0.95005,0.5382,0.62811,0.54375,0.25651,1.50851,1.57436,1.04385,0.00137654,0.00137654,0.00137654
46,154.694,1.12082,0.93909,0.9485,0.58015,0.6,0.53758,0.26621,1.51859,1.44072,1.05652,0.00136994,0.00136994,0.00136994
47,158.068,1.16009,0.91315,0.97363,0.5845,0.63492,0.60884,0.29865,1.53617,1.35151,1.05003,0.00136334,0.00136334,0.00136334
48,161.151,1.19527,0.972,0.97823,0.62104,0.65,0.63412,0.29154,1.65713,1.33372,1.06488,0.00135674,0.00135674,0.00135674
49,164.079,1.13875,0.93349,0.96994,0.73093,0.59174,0.64715,0.27286,1.71117,1.45687,1.07523,0.00135014,0.00135014,0.00135014
50,167.151,1.11085,0.89277,0.94563,0.60127,0.61371,0.59399,0.23161,1.7082,1.48349,1.07851,0.00134354,0.00134354,0.00134354
51,170.067,1.11761,0.87727,0.92542,0.55825,0.66032,0.60264,0.27711,1.56069,1.49447,1.06355,0.00133693,0.00133693,0.00133693
52,173.088,1.09514,0.82245,0.92575,0.59585,0.60341,0.60045,0.2643,1.63318,1.52272,1.08534,0.00133033,0.00133033,0.00133033
53,175.919,1.10495,0.87542,0.93309,0.57101,0.57937,0.5516,0.25043,1.64649,1.52521,1.08097,0.00132373,0.00132373,0.00132373
54,179.168,1.11023,0.80785,0.93382,0.6201,0.59841,0.54515,0.24658,1.65811,1.50839,1.09126,0.00131713,0.00131713,0.00131713
55,182.346,1.09829,0.82353,0.94826,0.61127,0.70125,0.56234,0.25148,1.67665,1.62128,1.11488,0.00131053,0.00131053,0.00131053
56,185.772,1.13547,0.88463,0.97143,0.62682,0.6573,0.61227,0.25807,1.76572,1.51891,1.11353,0.00130393,0.00130393,0.00130393
